pickup,drop,hour,dayofweek,event,demand,distance,competitor_fare,fare,pickup_code,drop_code
Airport,Railway Station,18,3,1,35,8.55,145.6,171.72,0,9
Airport,Kolar,13,1,0,53,14.03,189.36,237.9,0,5
New Market,Habibganj,2,4,1,59,4.74,72.88,130.83,8,3
MP Nagar,Shahpura,8,6,0,34,3.67,102.04,89.44,7,10
MP Nagar,Indrapuri,14,4,1,88,6.76,150.12,199.59,7,4
Lalghati,Ashoka Garden,4,5,0,37,4.78,133.36,108.16,6,1
New Market,Habibganj,15,5,1,36,4.74,145.88,128.53,8,3
Kolar,MP Nagar,17,1,0,40,5.82,110.84,110.14,5,7
Lalghati,Railway Station,20,1,0,59,4.47,75.64,105.02,6,9
BHEL,Ashoka Garden,8,2,1,21,7.96,170.52,169.74,2,1
Indrapuri,Kolar,23,4,0,80,11.56,178.72,207.32,4,5
MP Nagar,Shahpura,22,4,1,27,3.67,123.04,110.45,7,10
Shahpura,BHEL,22,1,1,29,8.38,128.56,166.27,10,2
Railway Station,MP Nagar,5,5,1,84,3.31,72.72,126.15,9,7
New Market,Habibganj,6,4,0,47,4.74,110.88,101.08,8,3
Habibganj,Ashoka Garden,23,3,0,49,5.07,121.84,107.14,3,1
Lalghati,Airport,20,3,0,81,4.25,81.0,118.12,6,0
Indrapuri,Shahpura,7,0,0,69,6.89,159.68,150.96,4,10
Railway Station,Shahpura,23,0,0,44,6.92,105.04,119.44,9,10
Kolar,BHEL,10,4,1,77,13.11,170.32,270.85,5,2
Habibganj,Airport,6,2,0,50,12.53,202.36,193.96,3,0
Indrapuri,Kolar,16,0,1,29,11.56,218.72,222.46,4,5
Airport,MP Nagar,13,6,0,34,11.19,208.28,184.48,0,7
MP Nagar,Shahpura,12,1,1,75,3.67,93.04,119.46,7,10
Railway Station,Lalghati,16,4,1,31,4.47,136.64,122.93,9,6
Shahpura,New Market,18,0,1,100,6.72,117.64,192.42,10,8
Ashoka Garden,Airport,18,5,1,64,8.99,192.88,216.03,1,0
Ashoka Garden,Airport,5,2,0,40,8.99,124.88,143.28,1,0
Shahpura,Kolar,12,2,1,84,4.91,88.92,156.27,10,5
Shahpura,Ashoka Garden,17,3,0,55,7.18,152.16,151.62,10,1
Airport,New Market,22,1,1,72,8.43,144.16,198.22,0,8
BHEL,Railway Station,18,2,1,62,8.71,126.52,198.73,2,9
Ashoka Garden,Shahpura,3,2,0,70,7.18,124.16,145.95,1,10
Ashoka Garden,Airport,9,3,0,93,8.99,174.88,200.6,1,0
Habibganj,Shahpura,20,2,1,45,2.26,94.12,86.97,3,10
BHEL,Indrapuri,19,4,1,40,1.57,77.84,74.84,2,4
Shahpura,MP Nagar,10,5,0,80,3.67,108.04,103.01,10,7
Ashoka Garden,Kolar,3,4,1,82,9.32,181.84,248.94,1,5
Railway Station,MP Nagar,16,2,1,29,3.31,80.72,95.86,9,7
BHEL,Indrapuri,7,2,1,33,1.57,83.84,76.64,2,4
Kolar,Habibganj,15,2,0,26,5.08,127.96,109.06,5,3
BHEL,MP Nagar,13,4,0,23,8.3,120.6,135.8,2,7
Lalghati,Kolar,14,1,0,79,11.53,161.36,203.5,6,5
Ashoka Garden,Habibganj,2,0,0,95,5.07,93.84,131.71,1,3
Airport,Lalghati,7,4,0,51,4.25,73.0,101.96,0,6
New Market,Airport,3,3,0,40,8.43,180.16,152.86,8,0
New Market,BHEL,13,0,1,52,11.86,163.32,251.45,8,2
Railway Station,Kolar,14,3,0,61,8.59,180.08,174.21,9,5
Shahpura,Habibganj,15,0,1,21,2.26,49.12,76.94,10,3
Lalghati,MP Nagar,11,2,1,50,7.47,145.64,158.77,6,7
Lalghati,MP Nagar,2,5,0,96,7.47,176.64,180.52,6,7
Ashoka Garden,Railway Station,1,1,0,46,0.98,62.76,55.06,1,9
BHEL,Ashoka Garden,17,4,1,55,7.96,181.52,198.93,2,1
Railway Station,Indrapuri,14,4,1,24,7.42,141.04,157.25,9,4
Habibganj,Ashoka Garden,18,2,0,42,5.07,122.84,107.44,3,1
Ashoka Garden,Habibganj,13,0,1,30,5.07,120.84,125.01,1,3
Ashoka Garden,Indrapuri,17,6,0,24,6.76,96.12,116.12,1,4
Airport,New Market,19,1,1,87,8.43,145.16,226.66,0,8
New Market,Kolar,2,5,0,20,5.79,101.48,107.88,8,5
Lalghati,MP Nagar,13,4,0,78,7.47,122.64,148.98,6,7
Shahpura,Airport,2,0,1,68,14.75,213.0,303.0,10,0
New Market,Airport,22,6,0,93,8.43,190.16,196.13,8,0
Railway Station,Indrapuri,21,4,0,97,7.42,110.04,166.53,9,4
Lalghati,BHEL,13,4,0,50,12.5,176.0,187.2,6,2
BHEL,Airport,19,0,1,99,16.74,232.88,383.81,2,0
Habibganj,BHEL,16,0,1,62,8.25,182.0,203.2,3,2
Habibganj,Airport,16,6,1,30,12.53,190.36,228.43,3,0
New Market,Shahpura,13,1,0,84,6.72,152.64,165.64,8,10
Lalghati,Airport,0,0,1,29,4.25,84.0,107.8,6,0
Kolar,Indrapuri,16,3,1,46,11.56,194.72,217.66,5,4
Railway Station,New Market,4,2,1,93,4.02,60.24,135.58,9,8
Habibganj,Kolar,15,0,1,24,5.08,108.96,122.75,3,5
Railway Station,BHEL,10,1,1,20,8.71,138.52,172.22,9,2
Ashoka Garden,Kolar,23,1,0,83,9.32,188.84,207.83,1,5
Railway Station,Airport,13,3,0,94,8.55,164.6,192.63,9,0
Indrapuri,Ashoka Garden,13,0,1,85,6.76,97.12,188.99,4,1
Ashoka Garden,Habibganj,5,5,1,71,5.07,87.84,138.58,1,3
Habibganj,New Market,21,3,1,75,4.74,83.88,133.03,3,8
BHEL,Railway Station,22,1,0,82,8.71,177.52,197.37,2,9
BHEL,New Market,0,1,1,97,11.86,153.32,285.91,2,8
Habibganj,BHEL,5,5,0,43,8.25,174.0,149.5,3,2
Lalghati,Railway Station,15,2,0,57,4.47,69.64,103.82,6,9
Habibganj,Airport,14,1,0,32,12.53,229.36,202.06,3,0
Lalghati,New Market,18,6,0,28,5.76,112.12,110.02,6,8
Habibganj,Kolar,11,2,1,69,5.08,83.96,137.94,3,5
New Market,Lalghati,12,1,1,77,5.76,149.12,160.77,8,6
Habibganj,Shahpura,22,6,1,22,2.26,105.12,90.27,3,10
Lalghati,MP Nagar,10,2,1,96,7.47,174.64,216.42,6,7
Habibganj,Indrapuri,16,5,0,71,6.68,103.16,135.99,3,4
Indrapuri,BHEL,9,4,1,70,1.57,81.84,86.98,4,2
Ashoka Garden,Shahpura,3,4,1,87,7.18,146.16,205.86,1,10
Railway Station,Airport,13,1,0,55,8.55,128.6,162.62,9,0
Indrapuri,BHEL,10,5,1,30,1.57,38.84,66.61,4,2
Lalghati,Railway Station,2,1,1,92,4.47,93.64,149.82,6,9
New Market,Ashoka Garden,22,0,0,77,4.99,92.88,114.46,8,1
New Market,Lalghati,6,5,0,39,5.76,114.12,110.62,8,6
BHEL,Airport,7,4,0,58,16.74,218.88,275.02,2,0
New Market,Kolar,10,1,1,55,5.79,114.48,154.27,8,5
Ashoka Garden,Shahpura,4,3,1,80,7.18,171.16,185.62,1,10
BHEL,Kolar,18,2,0,78,13.11,172.32,223.89,2,5
Lalghati,Railway Station,10,6,0,53,4.47,86.64,107.22,6,9
Indrapuri,Kolar,17,6,1,84,11.56,159.72,282.15,4,5
Ashoka Garden,Shahpura,19,5,0,57,7.18,108.16,142.75,1,10
Ashoka Garden,Lalghati,6,6,1,73,4.78,121.36,141.1,1,6
BHEL,Railway Station,3,5,1,40,8.71,129.52,170.42,2,9
Lalghati,Habibganj,18,2,0,22,8.88,150.56,147.76,6,3
Railway Station,Ashoka Garden,18,4,1,90,0.98,26.76,77.82,9,1
Lalghati,Ashoka Garden,20,4,0,94,4.78,80.36,125.12,6,1
Ashoka Garden,Shahpura,10,3,0,38,7.18,146.16,132.16,1,10
BHEL,New Market,1,6,0,76,11.86,201.32,215.29,2,8
MP Nagar,Railway Station,16,6,0,76,3.31,121.72,103.48,7,9
BHEL,MP Nagar,12,4,0,80,8.3,172.6,169.04,2,7
Railway Station,Lalghati,22,1,1,71,4.47,98.64,132.1,9,6
Lalghati,Indrapuri,13,5,0,98,11.44,188.28,236.21,6,4
Indrapuri,Airport,2,3,1,62,15.69,243.28,322.59,4,0
New Market,BHEL,20,4,1,83,11.86,175.32,290.31,8,2
Airport,MP Nagar,17,5,1,88,11.19,206.28,285.25,0,7
Railway Station,Kolar,1,0,1,45,8.59,132.08,169.5,9,5
Railway Station,MP Nagar,3,3,0,35,3.31,85.72,81.52,9,7
Railway Station,Habibganj,7,2,0,51,4.71,73.52,107.36,9,3
BHEL,Shahpura,1,1,0,48,8.38,112.56,134.96,2,10
Airport,Ashoka Garden,17,3,1,46,8.99,143.88,176.66,0,1
Habibganj,Shahpura,15,6,0,62,2.26,64.12,77.26,3,10
Lalghati,Habibganj,22,4,0,53,8.88,134.56,167.61,6,3
Ashoka Garden,Habibganj,9,4,1,70,5.07,71.84,135.38,1,3
Railway Station,Kolar,0,6,1,55,8.59,132.08,198.11,9,5
Railway Station,Lalghati,2,6,1,79,4.47,92.64,130.9,9,6
Habibganj,Ashoka Garden,18,3,1,53,5.07,93.84,139.78,3,1
Habibganj,Lalghati,20,0,1,36,8.88,175.56,181.67,3,6
Kolar,Indrapuri,21,1,1,53,11.56,198.72,254.21,5,4
Indrapuri,Shahpura,19,5,1,69,6.89,101.68,167.55,4,10
Shahpura,Ashoka Garden,1,5,0,69,7.18,163.16,154.92,10,1
New Market,MP Nagar,7,4,1,88,3.82,123.84,144.94,8,7
Kolar,Ashoka Garden,3,2,1,81,9.32,191.84,250.94,5,1
BHEL,Shahpura,13,1,1,73,8.38,189.56,206.58,2,10
Ashoka Garden,Habibganj,7,4,1,99,5.07,117.84,164.74,1,3
Kolar,Railway Station,7,6,1,87,8.59,151.08,230.53,5,9
Kolar,BHEL,4,0,1,58,13.11,190.32,274.85,5,2
MP Nagar,Shahpura,8,4,0,67,3.67,103.04,101.51,7,10
BHEL,Shahpura,8,1,0,71,8.38,166.56,168.25,2,10
New Market,Habibganj,17,2,0,30,4.74,108.88,100.48,8,3
Shahpura,Kolar,18,4,0,28,4.91,117.92,104.62,10,5
New Market,Airport,23,6,1,86,8.43,144.16,226.46,8,0
Kolar,Shahpura,21,0,1,93,4.91,68.92,152.27,5,10
Lalghati,Habibganj,19,1,1,75,8.88,163.56,208.58,6,3
New Market,Habibganj,19,2,0,80,4.74,142.88,124.24,8,3
Kolar,Shahpura,9,1,0,21,4.91,76.92,94.52,5,10
Ashoka Garden,Airport,9,0,0,40,8.99,157.88,150.88,1,0
BHEL,Kolar,22,0,1,48,13.11,192.32,235.78,2,5
Railway Station,BHEL,13,3,0,50,8.71,155.52,147.82,9,2
MP Nagar,Kolar,15,4,0,77,5.82,116.84,128.81,7,5
New Market,Indrapuri,17,3,0,28,10.37,209.44,177.94,8,4
Lalghati,Railway Station,2,5,1,92,4.47,80.64,147.22,6,9
MP Nagar,Indrapuri,18,0,1,47,6.76,163.12,154.92,7,4
Indrapuri,Railway Station,18,4,1,65,7.42,175.04,189.86,4,9
New Market,Airport,7,6,0,25,8.43,182.16,153.46,8,0
BHEL,Kolar,2,4,1,94,13.11,183.32,312.91,2,5
Shahpura,New Market,9,6,0,33,6.72,94.64,115.44,10,8
New Market,Kolar,13,6,0,92,5.79,130.48,148.71,8,5
New Market,Habibganj,9,4,1,51,4.74,135.88,143.43,8,3
Ashoka Garden,Airport,23,0,0,88,8.99,169.88,199.6,1,0
MP Nagar,BHEL,6,5,0,57,8.3,177.6,170.54,7,2
Shahpura,Airport,14,4,1,67,14.75,227.0,305.8,10,0
Indrapuri,Ashoka Garden,15,2,0,44,6.76,95.12,115.92,4,1
Indrapuri,BHEL,14,1,1,87,1.57,83.84,99.14,4,2
Lalghati,New Market,11,4,0,55,5.76,118.12,128.38,6,8
Airport,Lalghati,9,6,0,37,4.25,118.0,99.1,0,6
Indrapuri,Airport,3,6,0,34,15.69,269.28,240.58,4,0
Railway Station,Airport,15,5,0,23,8.55,189.6,156.7,9,0
New Market,Ashoka Garden,23,5,0,23,4.99,97.88,99.48,8,1
Ashoka Garden,Habibganj,17,0,1,86,5.07,84.84,158.14,1,3
Indrapuri,MP Nagar,5,4,0,90,6.76,138.12,163.28,4,7
MP Nagar,New Market,3,0,0,87,3.82,90.84,114.31,7,8
Shahpura,Kolar,17,3,1,87,4.91,112.92,161.07,10,5
Railway Station,Habibganj,14,3,1,80,4.71,144.52,144.73,9,3
New Market,Ashoka Garden,17,2,1,50,4.99,74.88,114.86,8,1
Shahpura,Railway Station,13,4,1,86,6.92,161.04,204.46,10,9
Airport,Habibganj,15,6,1,43,12.53,212.36,232.83,0,3
Indrapuri,Shahpura,10,2,1,98,6.89,113.68,194.49,4,10
Indrapuri,New Market,13,2,1,20,10.37,208.44,206.42,4,8
Railway Station,Ashoka Garden,10,2,1,69,0.98,74.76,77.06,9,1
Shahpura,BHEL,11,2,1,49,8.38,170.56,174.67,10,2
Indrapuri,Habibganj,9,6,0,41,6.68,104.16,116.96,4,3
Lalghati,BHEL,8,0,0,98,12.5,173.0,247.4,6,2
New Market,Indrapuri,13,0,0,22,10.37,208.44,177.64,8,4
Railway Station,BHEL,1,1,0,45,8.71,139.52,143.52,9,2
Lalghati,Ashoka Garden,13,0,0,33,4.78,121.36,104.56,6,1
Railway Station,Shahpura,7,6,1,88,6.92,113.04,194.86,9,10
Indrapuri,Railway Station,9,4,0,93,7.42,131.04,170.73,4,9
MP Nagar,Lalghati,3,6,1,94,7.47,167.64,215.02,7,6
BHEL,Habibganj,5,2,0,25,8.25,127.0,136.6,2,3
BHEL,Kolar,22,3,1,70,13.11,230.32,282.85,2,5
Lalghati,Airport,10,3,0,88,4.25,123.0,126.52,6,0
MP Nagar,Indrapuri,8,3,1,79,6.76,160.12,177.37,7,4
MP Nagar,Indrapuri,3,5,1,62,6.76,91.12,163.57,7,4
Ashoka Garden,Shahpura,12,0,1,80,7.18,108.16,173.02,1,10
Ashoka Garden,Indrapuri,5,0,0,62,6.76,118.12,139.9,1,4
Airport,MP Nagar,20,1,0,24,11.19,190.28,179.08,0,7
Lalghati,Airport,9,1,0,59,4.25,83.0,103.96,6,0
Habibganj,Airport,6,2,0,40,12.53,204.36,194.56,3,0
Airport,Railway Station,1,1,1,66,8.55,149.6,201.04,0,9
BHEL,Shahpura,9,5,1,76,8.38,178.56,204.38,2,10
Lalghati,Indrapuri,6,5,0,64,11.44,165.28,203.24,6,4
New Market,BHEL,4,6,0,72,11.86,170.32,209.09,8,2
Airport,MP Nagar,10,5,1,86,11.19,144.28,272.85,0,7
Kolar,Habibganj,6,4,1,44,5.08,145.96,132.13,5,3
MP Nagar,New Market,3,5,0,92,3.82,70.84,110.31,7,8
Habibganj,New Market,2,2,1,62,4.74,76.88,131.63,3,8
Shahpura,New Market,16,3,0,79,6.72,158.64,148.93,10,8
Lalghati,MP Nagar,1,6,1,50,7.47,175.64,166.13,6,7
MP Nagar,Habibganj,18,2,1,21,1.42,82.04,74.52,7,3
Airport,Habibganj,4,6,1,94,12.53,183.36,303.18,0,3
Shahpura,Habibganj,22,4,0,74,2.26,90.12,83.42,10,3
BHEL,Indrapuri,18,0,0,63,1.57,82.84,74.28,2,4
Airport,New Market,23,4,1,45,8.43,126.16,166.39,0,8
Indrapuri,Shahpura,23,6,0,84,6.89,136.68,164.74,4,10
Lalghati,Shahpura,21,4,1,42,11.14,152.68,204.22,6,10
Ashoka Garden,Kolar,14,5,0,31,9.32,199.84,166.24,1,5
Lalghati,Shahpura,7,2,0,39,11.14,204.68,182.98,6,10
New Market,Airport,7,1,0,29,8.43,131.16,139.16,8,0
Railway Station,Kolar,18,5,1,96,8.59,157.08,231.73,9,5
Habibganj,Lalghati,6,5,0,66,8.88,129.56,166.61,3,6
Habibganj,Lalghati,5,1,0,58,8.88,137.56,168.21,3,6
Kolar,Shahpura,11,3,1,62,4.91,105.92,139.89,5,10
Lalghati,Shahpura,18,6,1,83,11.14,188.68,280.89,6,10
BHEL,New Market,5,2,1,72,11.86,173.32,253.45,2,8
Lalghati,Kolar,22,1,1,81,11.53,160.36,281.78,6,5
MP Nagar,Habibganj,17,4,1,75,1.42,74.04,83.26,7,3
MP Nagar,New Market,0,4,0,99,3.82,60.84,108.31,7,8
Airport,MP Nagar,20,1,1,87,11.19,219.28,287.85,0,7
New Market,Indrapuri,18,3,1,58,10.37,197.44,236.82,8,4
MP Nagar,Shahpura,20,3,1,89,3.67,81.04,133.86,7,10
Lalghati,Habibganj,19,1,1,34,8.88,188.56,184.81,6,3
Shahpura,New Market,16,2,1,93,6.72,165.64,202.02,10,8
MP Nagar,Lalghati,15,3,1,59,7.47,155.64,186.7,7,6
Shahpura,Habibganj,22,4,1,37,2.26,60.12,79.14,10,3
Habibganj,Airport,1,3,0,100,12.53,237.36,260.68,3,0
BHEL,Habibganj,10,5,1,62,8.25,182.0,203.2,2,3
Ashoka Garden,Lalghati,18,1,1,24,4.78,89.36,115.23,1,6
Railway Station,Shahpura,15,2,1,92,6.92,173.04,206.86,9,10
Airport,Ashoka Garden,10,4,1,86,8.99,149.88,237.01,0,1
New Market,Railway Station,12,0,0,75,4.02,133.24,114.09,8,9
BHEL,Kolar,19,5,0,32,13.11,200.32,198.22,2,5
Kolar,Ashoka Garden,14,3,0,78,9.32,136.84,173.13,5,1
Kolar,New Market,11,6,1,69,5.79,156.48,162.67,5,8
BHEL,Lalghati,19,6,0,97,12.5,190.0,250.8,2,6
New Market,BHEL,9,0,0,77,11.86,194.32,213.89,8,2
Habibganj,Indrapuri,3,0,0,77,6.68,149.16,145.68,3,4
Shahpura,Railway Station,8,1,1,26,6.92,100.04,143.05,10,9
Ashoka Garden,Shahpura,3,4,1,91,7.18,107.16,198.06,1,10
Habibganj,Railway Station,1,4,0,25,4.71,118.52,103.12,3,9
BHEL,Habibganj,19,4,1,73,8.25,124.0,191.6,2,3
Ashoka Garden,Habibganj,9,0,1,28,5.07,70.84,115.01,1,3
Kolar,New Market,9,6,0,84,5.79,113.48,145.31,5,8
Airport,Indrapuri,9,2,0,92,15.69,250.28,305.73,0,4
BHEL,MP Nagar,2,3,1,85,8.3,135.6,222.56,2,7
Ashoka Garden,Shahpura,21,2,0,34,7.18,146.16,132.16,1,10
BHEL,MP Nagar,12,0,0,80,8.3,110.6,156.14,2,7
BHEL,Railway Station,10,0,1,29,8.71,149.52,174.42,2,9
Kolar,BHEL,14,0,0,62,13.11,216.32,232.69,5,2
MP Nagar,Indrapuri,6,4,1,56,6.76,163.12,177.97,7,4
Habibganj,BHEL,9,1,0,64,8.25,125.0,158.44,3,2
Shahpura,Habibganj,13,4,0,28,2.26,78.12,70.42,10,3
Railway Station,New Market,1,3,0,69,4.02,91.24,102.96,9,8
BHEL,Railway Station,8,3,1,35,8.71,117.52,168.02,2,9
Railway Station,Lalghati,11,0,0,99,4.47,127.64,130.4,9,6
BHEL,Kolar,17,5,0,57,13.11,190.32,227.49,2,5
Indrapuri,BHEL,1,3,0,77,1.57,68.84,70.25,4,2
New Market,Habibganj,11,0,0,59,4.74,80.88,109.18,8,3
Shahpura,New Market,6,4,1,52,6.72,96.64,164.1,10,8
BHEL,Lalghati,11,0,1,41,12.5,173.0,224.6,2,6
Habibganj,BHEL,11,6,1,91,8.25,141.0,222.8,3,2
Airport,Railway Station,11,3,1,26,8.55,186.6,180.76,0,9
Ashoka Garden,BHEL,19,6,1,64,7.96,181.52,198.93,1,2
Kolar,Habibganj,23,0,1,87,5.08,73.96,156.14,5,3
Ashoka Garden,New Market,23,0,0,46,4.99,79.88,95.88,1,8
Railway Station,Shahpura,9,2,0,55,6.92,117.04,141.53,9,10
Railway Station,Lalghati,4,4,0,23,4.47,87.64,92.44,9,6
New Market,BHEL,19,1,1,44,11.86,195.32,221.38,8,2
Ashoka Garden,Shahpura,10,5,0,77,7.18,106.16,142.35,1,10
Kolar,BHEL,22,1,1,77,13.11,229.32,282.65,5,2
Shahpura,Indrapuri,10,5,1,57,6.89,115.68,170.35,10,4
Shahpura,Railway Station,14,4,0,72,6.92,147.04,147.53,10,9
Habibganj,Airport,10,3,0,20,12.53,238.36,204.76,3,0
Ashoka Garden,Kolar,12,6,1,50,9.32,194.84,191.31,1,5
Indrapuri,Ashoka Garden,4,5,0,99,6.76,154.12,166.48,4,1
Ashoka Garden,Kolar,9,1,1,87,9.32,131.84,238.94,1,5
Habibganj,New Market,19,5,1,78,4.74,127.88,141.83,3,8
New Market,MP Nagar,14,2,0,20,3.82,123.84,97.24,8,7
MP Nagar,Lalghati,3,3,1,85,7.47,148.64,211.22,7,6
Indrapuri,Habibganj,13,3,1,95,6.68,104.16,189.06,4,3
Lalghati,Ashoka Garden,12,3,1,49,4.78,129.36,124.0,6,1
Indrapuri,Ashoka Garden,16,3,0,40,6.76,111.12,119.12,4,1
Airport,Indrapuri,20,5,1,63,15.69,236.28,321.19,0,4
Railway Station,Habibganj,4,6,0,49,4.71,107.52,99.82,9,3
BHEL,Indrapuri,1,6,0,86,1.57,89.84,84.62,2,4
MP Nagar,BHEL,20,4,1,54,8.3,133.6,194.24,7,2
Kolar,MP Nagar,18,2,1,29,5.82,145.84,139.86,5,7
Railway Station,Ashoka Garden,18,1,1,54,0.98,33.76,68.86,9,1
Railway Station,Ashoka Garden,12,3,0,96,0.98,33.76,64.72,9,1
Indrapuri,Lalghati,13,3,0,31,11.44,170.28,175.88,4,6
Indrapuri,MP Nagar,12,1,0,30,6.76,92.12,115.32,4,7
BHEL,Lalghati,3,3,0,52,12.5,193.0,221.0,2,6
Indrapuri,Ashoka Garden,10,6,0,67,6.76,95.12,135.3,4,1
MP Nagar,New Market,14,0,1,62,3.82,79.84,118.98,7,8
MP Nagar,Ashoka Garden,7,3,0,53,3.76,57.12,93.14,7,1
MP Nagar,Airport,18,5,0,41,11.19,199.28,181.78,7,0
Ashoka Garden,Habibganj,6,5,0,22,5.07,74.84,95.64,1,3
New Market,Kolar,8,3,0,26,5.79,150.48,121.78,8,5
Ashoka Garden,Indrapuri,1,5,1,44,6.76,96.12,140.34,1,4
Habibganj,BHEL,2,4,0,68,8.25,120.0,157.44,3,2
Lalghati,Airport,11,4,1,35,4.25,62.0,103.4,6,0
Railway Station,MP Nagar,15,3,1,66,3.31,71.72,110.01,9,7
New Market,Airport,6,3,1,97,8.43,159.16,229.46,8,0
BHEL,MP Nagar,14,5,1,54,8.3,153.6,198.24,2,7
Kolar,New Market,17,1,0,20,5.79,97.48,107.08,5,8
Indrapuri,MP Nagar,20,6,1,59,6.76,133.12,171.97,4,7
Indrapuri,Habibganj,19,6,1,67,6.68,114.16,167.02,4,3
Indrapuri,Ashoka Garden,21,5,0,92,6.76,131.12,161.88,4,1
BHEL,Kolar,13,0,1,54,13.11,246.32,286.05,2,5
BHEL,Ashoka Garden,17,3,0,69,7.96,107.52,151.6,2,1
Shahpura,Lalghati,3,2,0,47,11.14,178.68,175.18,10,6
Kolar,BHEL,2,3,0,67,13.11,197.32,228.89,5,2
Indrapuri,MP Nagar,17,2,1,59,6.76,155.12,176.37,4,7
Lalghati,Kolar,9,2,1,51,11.53,153.36,244.7,6,5
BHEL,Airport,11,4,1,22,16.74,244.88,289.86,2,0
Indrapuri,Railway Station,22,0,1,33,7.42,141.04,157.25,4,9
Habibganj,MP Nagar,16,6,1,43,1.42,61.04,69.25,3,7
Kolar,MP Nagar,2,0,1,94,5.82,89.84,171.74,5,7
Ashoka Garden,Kolar,9,4,1,59,9.32,193.84,220.98,1,5
Kolar,Lalghati,1,1,0,74,11.53,202.36,211.7,5,6
Airport,Kolar,22,0,0,72,14.03,243.36,248.7,0,5
Indrapuri,Shahpura,1,1,0,47,6.89,115.68,121.28,4,10
Shahpura,New Market,1,4,1,26,6.72,118.64,144.37,10,8
Kolar,Shahpura,3,4,0,81,4.91,144.92,140.42,5,10
Kolar,Ashoka Garden,22,2,1,98,9.32,165.84,245.74,5,1
Railway Station,Indrapuri,3,6,0,26,7.42,150.04,135.34,9,4
Habibganj,Lalghati,13,0,0,35,8.88,158.56,150.16,3,6
Habibganj,Indrapuri,1,0,0,61,6.68,97.16,134.79,3,4
BHEL,Ashoka Garden,20,0,1,29,7.96,160.52,167.62,2,1
Railway Station,Airport,21,1,0,73,8.55,167.6,170.42,9,0
Indrapuri,New Market,10,3,1,27,10.37,136.44,191.73,4,8
Shahpura,Lalghati,23,3,0,65,11.14,181.68,203.07,10,6
BHEL,Railway Station,4,2,0,91,8.71,167.52,195.37,2,9
Shahpura,Habibganj,20,3,1,84,2.26,105.12,114.99,10,3
Indrapuri,New Market,16,0,0,99,10.37,181.44,220.46,4,8
Habibganj,Kolar,20,1,0,81,5.08,97.96,132.67,3,5
BHEL,Lalghati,20,6,1,73,12.5,231.0,274.2,2,6
Indrapuri,Railway Station,19,5,0,80,7.42,163.04,157.31,4,9
Habibganj,Kolar,15,0,1,84,5.08,99.96,161.34,3,5
Kolar,Shahpura,23,0,1,34,4.91,88.92,116.7,5,10
Shahpura,MP Nagar,20,6,0,38,3.67,108.04,91.24,10,7
Lalghati,BHEL,10,3,1,95,12.5,230.0,312.0,6,2
Kolar,MP Nagar,13,5,0,97,5.82,82.84,139.59,5,7
Habibganj,Railway Station,3,0,1,91,4.71,86.52,152.43,3,9
Indrapuri,Kolar,7,3,0,37,11.56,170.72,177.12,4,5
Railway Station,BHEL,19,0,1,39,8.71,165.52,177.62,9,2
Indrapuri,Railway Station,0,3,0,55,7.42,126.04,149.09,4,9
Shahpura,Airport,14,5,1,31,14.75,200.0,257.0,10,0
Kolar,BHEL,20,0,0,21,13.11,231.32,207.52,5,2
Railway Station,Indrapuri,6,3,1,36,7.42,177.04,166.02,9,4
New Market,Shahpura,14,6,0,65,6.72,136.64,143.14,8,10
MP Nagar,Shahpura,3,6,1,41,3.67,63.04,96.65,7,10
Ashoka Garden,Habibganj,5,2,0,21,5.07,139.84,112.54,1,3
Habibganj,New Market,4,6,0,35,4.74,118.88,103.48,3,8
Habibganj,Indrapuri,19,3,0,100,6.68,162.16,167.01,3,4
Shahpura,Lalghati,19,0,1,52,11.14,183.68,245.15,10,6
Habibganj,MP Nagar,15,5,1,74,1.42,71.04,82.66,3,7
Shahpura,Habibganj,23,2,0,65,2.26,40.12,72.46,10,3
MP Nagar,Railway Station,16,3,1,90,3.31,107.72,133.15,7,9
Shahpura,BHEL,10,4,0,27,8.38,128.56,138.16,10,2
MP Nagar,New Market,9,3,1,86,3.82,108.84,141.94,7,8
Ashoka Garden,BHEL,17,6,0,41,7.96,160.52,143.02,1,2
Railway Station,Ashoka Garden,14,5,0,53,0.98,81.76,68.01,9,1
Shahpura,Kolar,21,3,1,96,4.91,133.92,165.27,10,5
New Market,Habibganj,4,2,0,63,4.74,130.88,120.64,8,3
Kolar,Airport,23,2,1,20,14.03,183.36,245.03,5,0
Ashoka Garden,Indrapuri,6,5,1,45,6.76,103.12,141.74,1,4
New Market,Shahpura,14,3,0,21,6.72,160.64,132.64,8,10
Ashoka Garden,Indrapuri,11,4,1,48,6.76,127.12,146.54,1,4
Ashoka Garden,Habibganj,5,0,0,39,5.07,123.84,107.74,1,3
Indrapuri,Airport,11,1,1,26,15.69,241.28,276.54,4,0
New Market,Kolar,4,1,1,20,5.79,95.48,128.58,8,5
MP Nagar,New Market,2,3,0,32,3.82,108.84,92.74,7,8
Lalghati,New Market,4,4,1,80,5.76,128.12,156.57,6,8
Shahpura,Indrapuri,23,6,0,93,6.89,101.68,157.74,10,4
MP Nagar,Indrapuri,10,3,0,77,6.76,146.12,145.58,7,4
Habibganj,BHEL,9,0,0,55,8.25,159.0,165.24,3,2
Habibganj,New Market,8,5,0,29,4.74,144.88,111.28,3,8
